text,labels
"In this paper, we describe two types of neuroscience problems which challenge the typical statistical models assumed for analyzing neuronal data. This offers an opportunity for new modeling and statistical inference. In the first problem, the data are spatial neural counts which are often over-dispersed and spatially correlated so that a standard Poisson regression model is inadequate. In the second problem, the data are averaged electroencephalograph signals recorded during muscle fatigue, where a time series AR(1) regression model cannot fully capture all the variation and correlation structure in the data. It is shown that an additional parameter has to be included in the modeling of the correlation structure and that the role of the parameter differs from one channel to the other. We propose appropriate generalized models for these data, develop statistical procedures under the generalized models, and apply these procedures to the real data that motivated this paper. The effect of mis-specification of a correlation structure is also investigated.-Modeling heterogeneity and dependence for analysis of neuronal data.",0
"To assess the impact of the 2004 extension of the CONSORT guidelines on the reporting and methodological quality of cluster randomised trials. Methodological review of 300 randomly sampled cluster randomised trials. Two reviewers independently abstracted 14 criteria related to quality of reporting and four methodological criteria specific to cluster randomised trials. We compared manuscripts published before CONSORT (2000-4) with those published after CONSORT (2005-8). We also investigated differences by journal impact factor, type of journal, and trial setting. A validated Medline search strategy. Eligibility criteria for selecting studies Cluster randomised trials published in English language journals, 2000-8. There were significant improvements in five of 14 reporting criteria: identification as cluster randomised; justification for cluster randomisation; reporting whether outcome assessments were blind; reporting the number of clusters randomised; and reporting the number of clusters lost to follow-up. No significant improvements were found in adherence to methodological criteria. Trials conducted in clinical rather than non-clinical settings and studies published in medical journals with higher impact factor or general medical journals were more likely to adhere to recommended reporting and methodological criteria overall, but there was no evidence that improvements after publication of the CONSORT extension for cluster trials were more likely in trials conducted in clinical settings nor in trials published in either general medical journals or in higher impact factor journals. The quality of reporting of cluster randomised trials improved in only a few aspects since the publication of the extension of CONSORT for cluster randomised trials, and no improvements at all were observed in essential methodological features. Overall, the adherence to reporting and methodological guidelines for cluster randomised trials remains suboptimal, and further efforts are needed to improve both reporting and methodology.-Impact of CONSORT extension for cluster randomised trials on quality of reporting and study methodology: review of random sample of 300 trials, 2000-8.",1
"Pulse detection algorithms and spectral analysis are the two most common methods for analysing pulsatile hormone data. We compared a popular high quality pulse detection algorithm (CLUSTER) to spectral analysis on a data set comparing luteinizing hormone data in depressed and control women. For these data, periodogram analysis methods, in particular Fisher's periodicity test, were superior in distinguishing the groups. Extending the pulse detection method to include measures of intra-individual variability improved its discriminatory performance. The two methods complement each other.-Periodograms and pulse detection methods for pulsatile hormone data.",0
"The continual reassessment method (CRM) is an adaptive design for Phase I trials whose operating characteristics, including appropriate sample size, probability of correctly identifying the maximum tolerated dose, and the expected proportion of participants assigned to each dose, can only be determined via simulation. The actual time to determine a final ""best"" design can take several hours or days, depending on the number of scenarios that are examined. The computational cost increases as the kernel of the one-parameter CRM design is expanded to other settings, including additional parameters, monitoring of both toxicity and efficacy, and studies of combinations of two agents. For a given vector of true DLT probabilities, we have developed an approach that replaces a simulation study of thousands of hypothetical trials with a single simulation. Our approach, which is founded on the consistency of the CRM, very accurately reflects the results produced by the simulation study, but does so in a fraction of time required by the simulation study. Relative to traditional simulations, we extensively examine how our method is able to assess the operating characteristics of a CRM design for a hypothetical trial whose characteristics are based upon a previously published Phase I trial. We also provide a metric of nonconsistency and demonstrate that although nonconsistency can impact the operating characteristics of our method, the degree of over- or under-estimation is unpredictable. As a solution, we provide an algorithm for maintaining the consistency of a chosen CRM design so that our method is applicable for any trial.-A simulation-free approach to assessing the performance of the continual reassessment method.",0
"In some cluster randomization trials, the number of clusters cannot exceed a specified maximum value due to cost constraints or other practical reasons. Donner and Klar [Donner A, and Klar N. Design and analysis of cluster randomization trials in health research. Oxford University Press 2000] provided the sample size formula for the number of subjects required per cluster when the number of clusters cannot exceed a specified maximum value. The sample size formula of Donner and Klar assumes that the number of subjects is the same in each cluster. In practical situations, the number of subjects may be different among clusters. We conducted simulation studies to investigate the effect of the cluster size variability (kappa) and the intracluster correlation coefficient (rho) on the power of the study in which the number of available clusters is fixed in advance. For the balanced case (kappa=1.0), i.e., equal cluster size among clusters, the sample size formula yielded empirical powers close to the nominal level even when the number of available clusters per group (k*) is as small as 10. The sample size formula yielded empirical powers close to the nominal level when the number of available clusters per group (k*) is at least 20 and the imbalance parameter (kappa) is at least 0.8. Empirical powers were close to the nominal level when (rho&lt; or =0.02, kappa&gt; or =0.8, and k*=10) or (rho&lt; or =0.02, kappa=0.8, and k*=20).-Effect of imbalance and intracluster correlation coefficient in cluster randomization trials with binary outcomes when the available number of clusters is fixed in advance.",1
"Mediation analyses supply a principal lens to probe the pathways through which a treatment acts upon an outcome because they can dismantle and test the core components of treatments and test how these components function as a coordinated system or theory of action. Experimental evaluation of mediation effects in addition to total effects has become increasingly common but literature has developed only limited guidance on how to plan mediation studies with multi-tiered hierarchical or clustered structures. In this study, we provide methods for computing the power to detect mediation effects in three-level cluster-randomized designs that examine individual- (level one), intermediate- (level two) or cluster-level (level three) mediators. We assess the methods using a simulation and provide examples of a three-level clinic-randomized study (individuals nested within therapists nested within clinics) probing an individual-, intermediate- or cluster-level mediator using the R package PowerUpR and its Shiny application.-Power and Sample Size Determination for Multilevel Mediation in Three-Level Cluster-Randomized Trials",1
"In medical therapies involving multiple stages, a physician's choice of a subject's treatment at each stage depends on the subject's history of previous treatments and outcomes. The sequence of decisions is known as a dynamic treatment regime or treatment policy. We consider dynamic treatment regimes in settings where each subject's final outcome can be defined as the sum of longitudinally observed values, each corresponding to a stage of the regime. Q-learning, which is a backward induction method, is used to first optimize the last stage treatment then sequentially optimize each previous stage treatment until the first stage treatment is optimized. During this process, model-based expectations of outcomes of late stages are used in the optimization of earlier stages. When the outcome models are misspecified, bias can accumulate from stage to stage and become severe, especially when the number of treatment stages is large. We demonstrate that a modification of standard Q-learning can help reduce the accumulated bias. We provide a computational algorithm, estimators, and closed-form variance formulas. Simulation studies show that the modified Q-learning method has a higher probability of identifying the optimal treatment regime even in settings with misspecified models for outcomes. It is applied to identify optimal treatment regimes in a study for advanced prostate cancer and to estimate and compare the final mean rewards of all the possible discrete two-stage treatment sequences.-Optimization of multi-stage dynamic treatment regimes utilizing accumulated data.",0
"The authors estimated components of variance and intraclass correlation coefficients (ICCs) to aid in the design of complex surveys and community intervention studies by analyzing data from the Health Survey for England 1994. This cross-sectional survey of English adults included data on a range of lifestyle risk factors and health outcomes. For the survey, households were sampled in 720 postal code sectors nested within 177 district health authorities and 14 regional health authorities. Study subjects were adults aged 16 years or more. ICCs and components of variance were estimated from a nested random-effects analysis of variance. Results are presented at the district health authority, postal code sector, and household levels. Between-cluster variation was evident at each level of clustering. In these data, ICCs were inversely related to cluster size, but design effects could be substantial when the cluster size was large. Most ICCs were below 0.01 at the district health authority level, and they were mostly below 0.05 at the postal code sector level. At the household level, many ICCs were in the range of 0.0-0.3. These data may provide useful information for the design of epidemiologic studies in which the units sampled or allocated range in size from households to large administrative areas.-Components of variance and intraclass correlations for the design of community-based surveys and intervention studies: data from the Health Survey for England 1994.",1
"This paper discusses the application of the cluster-randomized trial (CRT) design to evaluate the effectiveness of interventions against infectious diseases. In addition to the usual rationale for this design, there are a number of other advantages that are peculiar to the study of infectious diseases. In particular, CRTs are able to measure the overall effect of an intervention at the population level, capturing both the direct effect of an intervention on an individual's susceptibility to infection, and also the indirect effects due to changes in risks of transmission to other individuals, or to the mass effect or 'herd immunity' resulting from intervening in a large proportion of the population. We briefly review published CRTs of interventions against infectious diseases, most of which have been conducted in the developing countries where such diseases predominate. The focus is on trials in which communities or other large groupings are randomized, and in which impacts on infectious disease incidence or mortality are assessed. We then discuss three issues that are of special relevance to CRTs of infectious diseases. First, issues relating to the definition and size of clusters; secondly, the role of matching or stratification, and the choice of matching factors; and thirdly, the definition of direct and indirect effects of intervention, and methods of assessing these components in a CRT. We conclude by outlining some areas for future research.-Design and analysis issues in cluster-randomized trials of interventions against infectious diseases.",1
"Group interventions are interventions delivered to groups of people rather than to individuals and are used in healthcare for mental health recovery, behaviour change, peer support, self-management and/or health education. Evaluating group interventions in randomised controlled trials (RCTs) presents trialists with a set of practical problems, which are not present in RCTs of one-to-one interventions and which may not be immediately obvious. Case-based approach summarising Sheffield trials unit's experience in the design and implementation of five group interventions. We reviewed participant recruitment and attrition, facilitator training and attrition, attendance at the group sessions, group size and fidelity aspects across five RCTs. Median recruitment across the five trials was 3.2 (range 1.7-21.0) participants per site per month. Group intervention trials involve a delay in starting the intervention for some participants, until sufficient numbers are available to start a group. There was no evidence that the timing of consent, relative to randomisation, affected post-randomisation attrition which was a matter of concern for all trial teams. Group facilitator attrition was common in studies where facilitators were employed by the health system rather than the by the grant holder and led to the early closure of one trial; research sites responded by training 'back-up' and new facilitators. Trials specified that participants had to attend a median of 62.5% (range 16.7%-80%) of sessions, in order to receive a 'therapeutic dose'; a median of 76.7% (range 42.9%-97.8%) received a therapeutic dose. Across the five trials, 75.3% of all sessions went ahead without the pre-specified ideal group size. A variety of methods were used to assess the fidelity of group interventions at a group and individual level across the five trials. This is the first paper to provide an empirical basis for planning group intervention trials. Investigators should expect delays/difficulties in recruiting groups of the optimal size, plan for both facilitator and participant attrition, and consider how group attendance and group size affects treatment fidelity. ISRCTN17993825 registered on 11/10/2016, ISRCTN28645428?registered on 11/04/2012, ISRCTN61215213?registered on 11/05/2011, ISRCTN67209155?registered on 22/03/2012, ISRCTN19447796?registered on 20/03/2014.-Challenges in the design, planning and implementation of trials evaluating group interventions",2
"The use of the stepped-wedge cluster randomised trial (SW-CRT) is on the increase, and although there are still relatively few SW-CRTs currently published its use is bound to show an increase in the near future. An extension of the CONSORT reporting guideline for SW-CRTs has recently been developed. By making reporting guidelines for this innovative design available relatively early in its development, it is possible that the methodological conduct and reporting of future SW-CRTs will not be at the same risk of low-quality of reporting as is the case with many other study designs. We provide a brief overview of this reporting guideline and encourage authors to use it appropriately; and for journal editors to endorse its use.-Introducing the new CONSORT extension for stepped-wedge cluster randomised trials",3
"We propose an extension of the Harezlak and Heckman (J. Comput. Graph. Statist. 2001; 10(4): 713-729) test for detecting local extrema to the longitudinal data setting. We use penalized spline regression techniques (Statist. Sci. 1996; 11:89-102) to provide a computationally efficient method of testing for relatively large data sets. We estimate the p-values of our test, LongCriSP, with a smoothed bootstrap. Our simulation studies indicate that the test is generally conservative and has power exceeding 70 per cent at the alpha = 0.1 nominal level in most considered settings. Finally, we apply our testing procedure to the longitudinal measurements of body mass index of former prisoners of war in Vietnam and conclude that the mean population curve exhibits non-monotone behaviour.-LongCriSP: a test for bump hunting in longitudinal data.",0
"The stepped-wedge cluster randomized trial (SW-CRT) involves the sequential transition of clusters (such as hospitals, public health units or communities) from control to intervention conditions in a randomized order. The use of the SW-CRT is growing rapidly. Yet the SW-CRT is at greater risks of bias compared with the conventional parallel cluster randomized trial (parallel-CRT). For this reason, the CONSORT extension for SW-CRTs requires that investigators provide a clear justification for the choice of study design. In this paper, we argue that all other things being equal, the SW-CRT is at greater risk of bias due to misspecification of the secular trends at the analysis stage. This is particularly problematic for studies randomizing a small number of heterogeneous clusters. We outline the potential conditions under which an SW-CRT might be an appropriate choice. Potentially appropriate and often overlapping justifications for conducting an SW-CRT include: (i) the SW-CRT provides a means to conduct a randomized evaluation which otherwise would not be possible; (ii) the SW-CRT facilitates cluster recruitment as it enhances the acceptability of a randomized evaluation either to cluster gatekeepers or other stakeholders; (iii) the SW-CRT is the only feasible design due to pragmatic and logistical constraints (for example the roll-out of a scare resource); and (iv) the SW-CRT has increased statistical power over other study designs (which will include situations with a limited number of clusters). As the number of arguments in favour of an SW-CRT increases, the likelihood that the benefits of using the SW-CRT, as opposed to a parallel-CRT, outweigh its risks also increases. We argue that the mere popularity and novelty of the SW-CRT should not be a factor in its adoption. In situations when a conventional parallel-CRT is feasible, it is likely to be the preferred design.-Reflection on modern methods: when is a stepped-wedge cluster randomized trial a good study design choice?",3
"To investigate the trade off between performing an individual randomized trial with a Complier Average Causal Effect analysis and accepting the fact that there will be some contamination, with a cluster randomized trial and the subsequent effect on the sample size and power of the trial. Monte Carlo simulations were undertaken to generate trial data where there was some contamination of control participants. The trials were simulated so the null hypothesis was false. Assessments were made of whether a type II error had been committed (i.e., whether the false null had not been rejected). As contamination increases, the power of the study to detect a true difference between the two groups declines. Using a Complier Average Causal Effect approach, unless anticipated contamination exceeds 30%, retains a sample size advantage over the cluster randomized design despite a relatively small cluster (i.e., 10) and reasonably small ICC (i.e., 0.04). If contamination can be measured precisely or estimated then in some circumstances individual allocation has an advantage over cluster randomization in statistical efficiency.-Individual allocation had an advantage over cluster randomization in statistical efficiency in some circumstances.",1
"Individuals with two copies of the apolipoprotein-1 (APOL1) gene risk variants are at high risk (HR) for non-diabetic kidney disease. The presence of these risk variants is highest in West Africa, specifically in Nigeria. However, there is limited availability of dialysis and kidney transplantation in Nigeria, and most individuals will die soon after developing end-stage renal disease. Blocking the renin angiotensin aldosterone system with angiotensin-converting enzyme inhibitors (ACEi) is a well-recognized strategy to slow renal disease progression in patients with diabetes mellitus with chronic kidney disease (CKD) and in patients with HIV-associated nephropathy. We propose to determine whether presence of the APOL1 HR genotype alters or predicts responsiveness to conventional therapy to treat or prevent CKD and if addition of an ACEi to standard combination antiretroviral therapy (ART) reduces the risk of kidney complications among non-diabetic Nigerian adults. We will screen 2600 HIV-positive adults who have received ART to (1) determine the prevalence of APOL1 risk variants and assess whether APOL1 HR status correlates with prevalent albuminuria, estimated glomerular filtration rate (eGFR), and/or prevalent CKD; (2) assess, via a randomized, placebo-controlled trial (RCT) in a subset of these participants with microalbuminura (n = 280) whether addition of the ACEi, lisinopril, compared to standard of care, significantly reduces the incidence or progression of albuminuria; and (3) determine whether the APOL1 HR genotype is associated with worse kidney outcomes (i.e. eGFR slope or regression of albuminuria) among participants in the RCT. This study will examine the increasing prevalence of kidney diseases in HIV-positive adults in a West African population, and the relationship between these diseases and the APOL1 high-risk genotype. By evaluating the addition of an ACEi to the care of individuals with HIV infection who have albuminuria, our trial will provide definitive evidence to guide strategies for management and clinical care in this population, with the goal of reducing HIV-related kidney complications. ClinicalTrials.gov, NCT03201939 . Registered on 26 August 2016.-Optimal management of HIV- positive?adults at risk for kidney disease in Nigeria (Renal Risk Reduction ""R3"" Trial): protocol and study design.",0
"Cluster-level dynamic treatment regimens can be used to guide sequential treatment decision-making at the cluster level in order to improve outcomes at the individual or patient-level. In a cluster-level dynamic treatment regimen, the treatment is potentially adapted and re-adapted over time based on changes in the cluster that could be impacted by prior intervention, including aggregate measures of the individuals or patients that compose it. Cluster-randomized sequential multiple assignment randomized trials can be used to answer multiple open questions preventing scientists from developing high-quality cluster-level dynamic treatment regimens. In a cluster-randomized sequential multiple assignment randomized trial, sequential randomizations occur at the cluster level and outcomes are observed at the individual level. This manuscript makes two contributions to the design and analysis of cluster-randomized sequential multiple assignment randomized trials. First, a weighted least squares regression approach is proposed for comparing the mean of a patient-level outcome between the cluster-level dynamic treatment regimens embedded in a sequential multiple assignment randomized trial. The regression approach facilitates the use of baseline covariates which is often critical in the analysis of cluster-level trials. Second, sample size calculators are derived for two common cluster-randomized sequential multiple assignment randomized trial designs for use when the primary aim is a between-dynamic treatment regimen comparison of the mean of a continuous patient-level outcome. The methods are motivated by the Adaptive Implementation of Effective Programs Trial which is, to our knowledge, the first-ever cluster-randomized sequential multiple assignment randomized trial in psychiatry.-Comparing cluster-level dynamic treatment regimens using sequential, multiple assignment, randomized trials: Regression estimation and sample size considerations.",1
"A cross-over trial design is more powerful than a parallel groups design, but requires that treatment effects do not carry over from one period of the trial to the next. We focus here on interventions in chronic disease populations where the control is routine care: in such cases we cannot assume the intervention effect is easily washed out in crossing over from the experimental intervention back to the control. We introduce an alternative trial design for these situations, and investigate its performance. One group is assessed before and after the experimental intervention, whereas two other groups provide respective, independent treatment comparisons in each period. We call this a dog-leg design because of the pattern of assessments in the three groups. The dog-leg design is reminiscent of a stepped wedge design, but with a reduced schedule of assessments and with the notable difference that not all groups receive the intervention. If the correlation between baseline and follow-up is &lt;0.72, the dog-leg design is more efficient than a parallel groups design with a baseline assessment. The dog-leg design also requires fewer assessments in total than a parallel groups design where participants are only assessed once, at follow-up. The dog-leg design is simple, and has some attractive properties. Though there is a risk of differential attrition in the three arms, the design's good performance relative to alternatives makes it a useful addition to the methodologist's toolkit.-The dog-leg: an alternative to a cross-over design for pragmatic clinical trials in relatively stable populations.",3
"We focus on estimating the average treatment effect in a randomized trial. If baseline variables are correlated with the outcome, then appropriately adjusting for these variables can improve precision. An example is the analysis of covariance (ANCOVA) estimator, which applies when the outcome is continuous, the quantity of interest is the difference in mean outcomes comparing treatment versus control, and a linear model with only main effects is used. ANCOVA is guaranteed to be at least as precise as the standard unadjusted estimator, asymptotically, under no parametric model assumptions and also is locally semiparametric efficient. Recently, several estimators have been developed that extend these desirable properties to more general settings that allow any real-valued outcome (e.g., binary or count), contrasts other than the difference in mean outcomes (such as the relative risk), and estimators based on a large class of generalized linear models (including logistic regression). To the best of our knowledge, we give the first simulation study in the context of randomized trials that compares these estimators. Furthermore, our simulations are not based on parametric models; instead, our simulations are based on resampling data from completed randomized trials in stroke and HIV in order to assess estimator performance in realistic scenarios. We provide practical guidance on when these estimators are likely to provide substantial precision gains and describe a quick assessment method that allows clinical investigators to determine whether these estimators could be useful in their specific trial contexts.-Leveraging prognostic baseline variables to gain precision in randomized trials.",0
"Nesting of patients within therapists in psychotherapy trials creates an additional level within the design. The multilevel nature of this design has implications for the precision, internal and external validity of estimates of the treatment effect. Prior to or during a trial, psychotherapies are allocated to therapists and therapists are assigned to patients such that the therapist becomes part of the causal pathway from the intervention to the patient. It is therefore important to consider not only the relationship between interventions and patients but also relationships between interventions and therapists and between therapists and patients. Research designs comparing the effects of therapeutic approaches, therapist characteristics and packages of the two can be unified by viewing therapists as an important source of variability within psychotherapy outcome studies. Methodological considerations arising from therapist variation will be discussed, drawing together and building upon the associated psychotherapy and statistical literatures. Parallels will also be made with related designs and methods of analysis.-Therapist variation within randomised trials of psychotherapy: implications for precision, internal and external validity.",2
